group,paco2_bin,weight
all,91.0,0.0007081508158909
all,92.0,0.0007081508158909
all,93.0,0.0006019281935072
all,94.0,0.0005816953130532
all,95.0,0.0006525103946423
all,96.0,0.0006373357343018
all,97.0,0.0004653562504425
all,98.0,0.0005108802314641
all,99.0,0.0004805309107831
all,100.0,0.000460298030329
all,101.0,0.0003085514269238
all,102.0,0.0003338425274914
all,103.0,0.0003793665085129
all,104.0,0.0003034932068103
all,105.0,0.0003136096470374
all,106.0,0.0002731438861293
all,107.0,0.0002225616849942
all,108.0,0.0002377363453348
all,109.0,0.0001922123643132
all,110.0,0.0002630274459023
all,111.0,0.0002073870246537
all,112.0,0.0001871541441997
all,113.0,0.0001922123643132
all,114.0,0.0001871541441997
all,115.0,0.0001871541441997
all,116.0,0.0002023288045402
all,117.0,0.0001112808424971
all,118.0,0.0001719794838592
all,119.0,0.0001820959240862
all,120.0,0.0001618630436322
all,121.0,0.0001669212637457
all,122.0,0.0001062226223836
all,123.0,0.0001264555028376
all,124.0,0.0001517466034051
all,125.0,0.0001618630436322
all,126.0,8.093152181610335e-05
all,127.0,0.0001011644022701
all,128.0,9.104796204311628e-05
all,129.0,0.0001112808424971
all,130.0,0.0001517466034051
all,131.0,9.104796204311628e-05
all,132.0,9.610618215662272e-05
all,133.0,7.587330170259689e-05
all,134.0,4.0465760908051675e-05
all,135.0,0.0001163390626106
all,136.0,8.093152181610335e-05
all,137.0,5.0582201135064595e-05
all,138.0,7.081508158909043e-05
all,139.0,7.587330170259689e-05
all,140.0,7.587330170259689e-05
all,141.0,4.0465760908051675e-05
all,142.0,3.5407540794545215e-05
all,143.0,7.081508158909043e-05
all,144.0,6.069864136207751e-05
all,145.0,4.5523981021558135e-05
all,146.0,6.575686147558397e-05
all,147.0,8.598974192960981e-05
all,148.0,5.0582201135064595e-05
all,149.0,3.5407540794545215e-05
all,150.0,4.0465760908051675e-05
all,151.0,4.5523981021558135e-05
all,152.0,8.093152181610335e-05
all,153.0,9.610618215662272e-05
all,154.0,7.587330170259689e-05
all,155.0,8.093152181610335e-05
all,156.0,3.5407540794545215e-05
all,157.0,4.0465760908051675e-05
all,158.0,3.034932068103876e-05
all,159.0,4.5523981021558135e-05
all,160.0,7.081508158909043e-05
all,161.0,8.093152181610335e-05
all,162.0,4.5523981021558135e-05
all,163.0,4.0465760908051675e-05
all,164.0,3.5407540794545215e-05
all,165.0,3.034932068103876e-05
all,166.0,8.093152181610335e-05
all,167.0,5.5640421248571055e-05
all,168.0,5.0582201135064595e-05
all,169.0,2.5291100567532298e-05
all,170.0,4.5523981021558135e-05
all,171.0,3.5407540794545215e-05
all,172.0,3.5407540794545215e-05
all,173.0,5.5640421248571055e-05
all,174.0,3.034932068103876e-05
all,175.0,3.034932068103876e-05
all,176.0,2.5291100567532298e-05
all,177.0,3.034932068103876e-05
all,178.0,7.587330170259689e-05
all,179.0,3.5407540794545215e-05
all,180.0,4.5523981021558135e-05
all,181.0,2.0232880454025837e-05
all,182.0,2.5291100567532298e-05
all,183.0,2.0232880454025837e-05
all,184.0,4.5523981021558135e-05
all,185.0,3.5407540794545215e-05
all,186.0,2.5291100567532298e-05
all,187.0,5.0582201135064595e-05
all,188.0,3.5407540794545215e-05
all,189.0,2.5291100567532298e-05
all,190.0,1.517466034051938e-05
all,191.0,3.034932068103876e-05
all,192.0,5.0582201135064595e-05
all,193.0,3.034932068103876e-05
all,194.0,3.5407540794545215e-05
all,195.0,4.0465760908051675e-05
all,196.0,4.0465760908051675e-05
all,197.0,3.034932068103876e-05
all,198.0,2.5291100567532298e-05
all,199.0,3.034932068103876e-05
all,200.0,2.5291100567532298e-05
all,201.0,3.5407540794545215e-05
all,202.0,2.0232880454025837e-05
all,203.0,3.5407540794545215e-05
all,204.0,3.034932068103876e-05
all,205.0,1.011644022701292e-05
all,206.0,5.0582201135064595e-05
all,207.0,4.0465760908051675e-05
all,208.0,2.5291100567532298e-05
all,209.0,3.5407540794545215e-05
all,210.0,1.011644022701292e-05
all,211.0,2.5291100567532298e-05
all,212.0,2.5291100567532298e-05
all,213.0,2.5291100567532298e-05
all,214.0,1.011644022701292e-05
all,215.0,2.5291100567532298e-05
all,216.0,1.517466034051938e-05
all,217.0,1.517466034051938e-05
all,218.0,2.5291100567532298e-05
all,219.0,2.5291100567532298e-05
all,220.0,4.0465760908051675e-05
all,221.0,2.0232880454025837e-05
all,222.0,1.011644022701292e-05
all,223.0,5.058220113506459e-06
all,224.0,2.5291100567532298e-05
all,225.0,2.5291100567532298e-05
all,226.0,1.517466034051938e-05
all,227.0,2.0232880454025837e-05
all,228.0,5.058220113506459e-06
all,229.0,2.0232880454025837e-05
all,230.0,2.0232880454025837e-05
all,231.0,1.011644022701292e-05
all,232.0,3.5407540794545215e-05
all,233.0,1.517466034051938e-05
all,234.0,2.0232880454025837e-05
all,235.0,2.0232880454025837e-05
all,236.0,2.0232880454025837e-05
all,237.0,1.517466034051938e-05
all,238.0,1.517466034051938e-05
all,239.0,1.517466034051938e-05
all,240.0,3.034932068103876e-05
